location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex,price_per_meter
Серпухов,6,6,1,20.7,2350000.0,1917,Вторичка,-1,Наземная,-1,18 м²,1 м²,3 м, Крюкова,4,0,113527
Серпухов,1,9,1,33.0,4150000.0,1975,Вторичка,-1,-1,-1,18 м²,6 м²,"2,7 м", Ворошилова,144,0,125758
Серпухов,4,4,1,14.0,1700000.0,-1,Вторичка,-1,-1,-1,-1,-1,-1, Красный Текстильщик,2,0,121429 
Серпухов,5,5,1,17.5,2500000.0,1968,Вторичка,-1,-1,-1,-1,-1,-1,Российская ,40,0,142857
Серпухов,4,7,1,25.9,3000000.0,2009,Вторичка,-1,Наземная,-1,20 м²,5 м²,"3,5 м", Химиков,8,0,115830
Серпухов,2,3,1,46.7,6599999.0,-1,Вторичка,-1,-1,-1,25 м²,6 м²,-1, 2-я Московская,6к3,0,141328
Серпухов,3,5,1,29.0,3350000.0,1917,Вторичка,-1,Наземная,-1,25 м²,-1,3 м, Форсса,10,0,115517
Серпухов,3,6,1,19.1,3600000.0,1917,Вторичка,-1,-1,-1,-1,-1,-1, Крюкова,4,0,188482
Серпухов,1,2,1,27.1,1900000.0,1969,Вторичка,-1,Наземная,-1,18 м²,6 м²,"2,5 м",0,0,0,70111
Серпухов,6,9,2,42.7,3990000.0,1980,Вторичка,1 лоджия,Наземная,-1,"29,7 м²","5,6 м²","2,7 м",Весенняя ,56,0,93443
Серпухов,1,5,2,42.8,2999000.0,1990,Вторичка,1 балкон,Наземная,-1,"24,9 м²",6 м²,"2,5 м", Южная,3,0,70070
Серпухов,3,4,-1,47.0,1980000.0,1964,Вторичка,1 балкон,Наземная,-1,-1,16 м²,"2,9 м",Художественный проезд,14,0,42128
Серпухов,15,17,1,20.55,2600000.0,2025,Новостройка,1 лоджия,Наземная,-1,"13,4 м²",3 м²,-1, Ледовская,0,Солнечный,126521
Серпухов,1,3,1,25.3,2500000.0,2015,Вторичка,1 лоджия,-1,-1,"14,1 м²","6,2 м²","2,8 м", Солнечный Град,1,0,98814
Серпухов,2,3,1,36.0,2790000.0,-1,Вторичка,-1,-1,-1,-1,-1,-1,Русская ,32А,0,77500
Серпухов,1,3,1,22.4,2600000.0,-1,Вторичка,1 лоджия,-1,-1,-1,-1,-1,Русская ,36,0,116071
